SOURCE,TARGET,SENTIMENT_SCORE,SENTIMENT
1,12,0.548867404460907,positivo
1,7,0.548867404460907,positivo
1,2,0.548867404460907,positivo
1,3,0.548867404460907,positivo
1,4,0.548867404460907,positivo
1,10,0.548867404460907,positivo
1,8,0.548867404460907,positivo
1,11,0.548867404460907,positivo
1,5,0.3709309697151184,positivo
1,12,0.3709309697151184,positivo
1,7,0.3709309697151184,positivo
1,2,0.3709309697151184,positivo
1,3,0.3709309697151184,positivo
1,4,0.3709309697151184,positivo
1,10,0.3709309697151184,positivo
1,8,0.3709309697151184,positivo
1,11,0.3709309697151184,positivo
1,5,0.3171939551830292,positivo
1,12,0.3171939551830292,positivo
1,7,0.3171939551830292,positivo
1,2,0.3171939551830292,positivo
1,3,0.3171939551830292,positivo
1,4,0.3171939551830292,positivo
1,10,0.3171939551830292,positivo
